id,dia,categoria,tipo_logradouro,logradouro,numero,bairro,distrito,cep,subprefeitura,fonte_coordenada,lat,lng
1092-8,Domingo,Tradicional,Praça,Pedro Rocha,S/N,Parelheiros,,04892-017,Parelheiros,OSM (endereço),-23.9275709,-46.3797259
1253-0,Domingo,Tradicional,Rua,B-10,S/N,Cidade Tiradentes,,0,Guaianases,OSM (endereço),-23.4064619,-46.5407609
4110-6,Quarta Feira,Tradicional,Rua,Ernesto Giuliano,23,Vila São Carlos,,03159-090,Mooca,OSM (endereço),-23.6352957,-46.5716272
3052-0,Terça Feira,Tradicional,Rua,Doutor Joao Bizarro da Nave,S/N,Vila Ema,Agua Rasa,03351-100,Mooca,OSM (endereço),-23.572767,-46.564175
7009-2,Sábado,Tradicional,Rua,Valentim Magalhaes,300,Vila Leste,Agua Rasa,03184-090,Mooca,OSM (endereço),-23.5645885,-46.5881921
7106-4,Sábado,Tradicional,Rua,Pde Francisco de Toledo,S/N,Itaquera Cohab I,Artur Alvim,03590-000,Penha,OSM (endereço),-23.5430706,-46.4805932
4185-8,Quarta Feira,Tradicional,Rua,Filomena Matarazzo,S/N,Lapa,Barra Funda,01144-080,Lapa,OSM (endereço),-23.524076,-46.6752531
6003-8,Sexta Feira,Tradicional,Rua,Maria Jose com Fortaleza,S/N,Bela Vista,Bela Vista,01324-010,Sé,OSM (endereço),-23.559433,-46.6429766
7162-5,Sábado,Tradicional,Alameda,Rio Claro,S/N,Cerqueira Cezar,Bela Vista,01332-010,Sé,OSM (endereço),-23.5611919,-46.6526266
3006-6,Terça Feira,Tradicional,Rua,Doutor Carlos Guimaraes,S/N,Belem,Belem,03020-030,Mooca,OSM (endereço),-23.5366953,-46.6012403
1097-9,Domingo,Tradicional,Avenida,Guilherme de Almeida,107,Pq Belem,Brasilandia,02866-040,Freguesia/Brasilândia,OSM (endereço),-23.467146,-46.681087
3003-1,Terça Feira,Tradicional,Rua,Stefano,657,Cambuci,Cambuci,01521-030,Sé,OSM (endereço),-23.5622918,-46.6185035
7073-4,Sábado,Tradicional,Rua,Otavio Tarquinio de Souza,1319,Piraquara,Campo Belo,04613-002,Santo Amaro,OSM (endereço),-23.6173138,-46.6686819
1088-0,Domingo,Tradicional,Estrada,De Itapecerica,S/N,Pq Fernanda,Capao Redondo,05858-003,Campo Limpo,OSM (endereço),-23.677706,-46.7939291
7075-0,Sábado,Tradicional,Avenida,Carlos Obheruber,325,Santo Amaro,Cidade Dutra,04836-130,Capela do Socorro,OSM (endereço),-23.7408386,-46.7073283
1040-5,Domingo,Tradicional,Estrada,Do Sabao,448,Cruz das Almas,Freguesia do O,02806-000,Freguesia/Brasilândia,OSM (endereço),-23.4726068,-46.6981388
4056-8,Quarta Feira,Tradicional,Rua,Jaguarurama,129,Nossa Senhora do o,Freguesia do O,02964-010,Freguesia/Brasilândia,OSM (endereço),-23.4861807,-46.7051249
7044-0,Sábado,Tradicional,Rua,Doutor Jose de Queiros Matoso,719,Vila Goncalves,Freguesia do O,02927-090,Freguesia/Brasilândia,OSM (endereço),-23.4982473,-46.7057908
1147-9,Domingo,Tradicional,Avenida,Trinta e Sete Conjunto Faria Lima,S/N,Pq Cocaia,Grajau,04840-460,Capela do Socorro,OSM (endereço),-23.7530969,-46.683442
4079-7,Quarta Feira,Tradicional,Rua,Pensylvania,S/N,Cidade Moncoes,Itaim Bibi,04564-002,Pinheiros,OSM (endereço),-23.6109445,-46.6867065
7220-6,Sábado,Tradicional,Rua,Da Conquista-g,S/N,Cdhu Camargo Velho,Itaim Paulista,08143-430,Itaim Paulista,OSM (endereço),-23.5201544,-46.3891859
1179-7,Domingo,Tradicional,Rua,Terra Brasileira,S/N,Vila Suica,Itaquera,08223-355,Itaquera,OSM (endereço),-23.5236001,-46.4679575
1044-8,Domingo,Tradicional,Praça,Nova America,15-A,Cidade Vargas,Jabaquara,04316-090,Jabaquara,OSM (endereço),-23.6408339,-46.6360652
1220-3,Domingo,Tradicional,Avenida,Jose Martins Lisboa,S/N,São Francisco,Jardim Helena,08081-010,São Miguel,OSM (endereço),-23.4819932,-46.4234467
1198-3,Domingo,Tradicional,Alameda,Lorena,S/N,Jardim America,Jardim Paulista,01424-002,Pinheiros,OSM (endereço),-23.5699187,-46.6594255
4156-4,Quarta Feira,Tradicional,Rua,Fernao Cardim,S/N,Cerqueira Cesar,Jardim Paulista,01403-020,Pinheiros,OSM (endereço),-23.5689223,-46.6531402
7400-4,Sábado,Tradicional,Rua,Jose Rodrigues Maciel,S/N,São Luis,Jardim Sao Luis,05823-070,M'Boi Mirim,OSM (endereço),-23.6646802,-46.7482564
7222-2,Sábado,Tradicional,Rua,Jose Martins dos Santos,S/N,Lajeado,Lajeado,08430-110,Guaianases,OSM (endereço),-23.52441,-46.4276995
5030-0,Quinta Feira,Tradicional,Rua,Dom Joao V C Sacadura Cabral,85,Alto da Lapa,Lapa,05075-060,Lapa,OSM (endereço),-23.5228169,-46.7094363
1221-1,Domingo,Tradicional,Rua,Cleusa Milochi,S/N,Cachoeirinha,Limao,02762-070,Casa Verde/Cachoeirinha,OSM (endereço),-23.4815392,-46.6740186
3077-5,Terça Feira,Tradicional,Rua,Tomaz Antonio Vilane,417,Vila Santa Maria,Limao,02562-000,Casa Verde/Cachoeirinha,OSM (endereço),-23.4865225,-46.674305
1017-0,Domingo,Tradicional,Avenida,Lavandisca,644,Moema,Moema,04515-011,Vila Mariana,OSM (endereço),-23.6028529,-46.6641547
6141-7,Sexta Feira,Tradicional,Travessa,Jornalista Otavio Muniz,S/N,Moema,Moema,04514-100,Vila Mariana,OSM (endereço),-23.5993055,-46.6680462
1246-7,Domingo,Tradicional,Rua,Beija Flor,S/N,Vila Vargem Grande,Parelheiros,04895-280,Parelheiros,OSM (endereço),-23.8637339,-46.7126898
7233-8,Sábado,Tradicional,Avenida,Primavera,116,Vila Vargem Grande,Parelheiros,04896-360,Parelheiros,OSM (endereço),-23.8628121,-46.7070926
4380-0,Quarta Feira,Noturna,Rua,Paulo Marques,S/N,Vila Vidal,Penha,03616-210,Penha,OSM (endereço),-23.5146225,-46.5264769
4404-0,Quarta Feira,Orgânica,Rua,Doutor Manoel Carlos F de Almeida,S/N,Pinheiros,Pinheiros,05421-070,Pinheiros,OSM (endereço),-23.5660872,-46.6927346
4087-8,Quarta Feira,Tradicional,Rua,Pde Marcigaglia,19,Jardim Regina,Pirituba,05174-100,Pirituba/Jaraguá,OSM (endereço),-23.4748317,-46.7418213
5039-3,Quinta Feira,Tradicional,Avenida,Miguel de Castro,1023,Vila Zatt,Pirituba,02950-000,Pirituba/Jaraguá,OSM (endereço),-23.4821375,-46.7198416
5085-7,Quinta Feira,Tradicional,Rua,Hermenegildo Gois Parente,110,Jardim Lisboa,Ponte Rasa,03678-000,Ermelino Matarazzo,OSM (endereço),-23.5198934,-46.4923797
3104-6,Terça Feira,Tradicional,Avenida,Vaticano,19,Jardim Joao XXIII,Raposo Tavares,05569-120,Butantã,OSM (endereço),-23.6035442,-46.7958613
1175-4,Domingo,Tradicional,Rua,Dos Andradas com Timbiras,S/N,Santa Efigenia,Republica,01208-000,Sé,OSM (endereço),-23.5394718,-46.6371186
6049-6,Sexta Feira,Tradicional,Rua,Professor Raul Pederneiras,125,Vila Conde do Pinhal,Sacoma,04205-040,Ipiranga,OSM (endereço),-23.6195383,-46.6004519
4060-6,Quarta Feira,Tradicional,Rua,Pascoal Ranieri Mazili,650,Vila Ana Clara,Sao Lucas,03257-180,Vila Prudente,OSM (endereço),-23.6097985,-46.5271416
5080-6,Quinta Feira,Tradicional,Avenida,Moacir Dantas Itapicuru,826,Cidade Nova S Miguel,Sao Miguel,08042-290,São Miguel,OSM (endereço),-23.5083259,-46.435794
1131-2,Domingo,Tradicional,Rua,Leonor de Siqueira,6,Jardim Vera Cruz,Sao Rafael,08310-500,São Mateus,OSM (endereço),-23.6189244,-46.4697675
7100-5,Sábado,Tradicional,Rua,Duarte Teixeira Chaves,S/N,Jardim Santo Andre,Sao Rafael,08390-410,São Mateus,OSM (endereço),-23.6337087,-46.4436997
7985-5,Terça Feira,Tradicional,Rua,Joao da Praia,55,Parque dos Bancarios,Sapopemba,#N/A,Sapopemba,OSM (endereço),-23.5924971,-46.5127323
6017-8,Sexta Feira,Tradicional,Rua,Jose Maria Witaker,S/N,Saude,Saude,04057-000,Vila Mariana,OSM (endereço),-23.6160268,-46.6436247
4176-9,Quarta Feira,Tradicional,Praça,Liberdade,S/N,Liberdade,Se,01502-001,Sé,OSM (endereço),-23.5554387,-46.6359677
6079-8,Sexta Feira,Tradicional,Rua,Dos Inocentes com Mendel,S/N,Socorro,Socorro,04764-050,Capela do Socorro,OSM (endereço),-23.6715083,-46.7143921
4075-4,Quarta Feira,Tradicional,Rua,Montreal,S/N,Pq São Luis,Tremembe,02832-050,Freguesia/Brasilândia,OSM (endereço),-23.4490733,-46.5800253
3030-9,Terça Feira,Tradicional,Avenida,Benedito Estevao dos Santos,1227,Vila Maria,Vila Maria,02136-000,Vila Maria/Vila Guilherme,OSM (endereço),-23.4970519,-46.5810532
5061-0,Quinta Feira,Tradicional,Rua,Sold Jose Vicente de Paula,196,Vila Maria,Vila Maria,02180-020,Vila Maria/Vila Guilherme,OSM (endereço),-23.5206261,-46.5662294
7047-5,Sábado,Tradicional,Alameda,Sub Tenente Francisco Hierro,351,Pq Novo Mundo,Vila Maria,02187-040,Vila Maria/Vila Guilherme,OSM (endereço),-23.5143119,-46.5652049
7240-0,Sábado,Tradicional,Rua,Caldas Novas,S/N,Vila Nova Esperanca,Vila Matilde,05164-090,Pirituba/Jaraguá,OSM (endereço),-23.5319308,-46.5124897
4184-0,Quarta Feira,Tradicional,Rua,Dos Guarinos,S/N,Vila Elisa,Vila Medeiros,02219-160,Vila Maria/Vila Guilherme,OSM (endereço),-23.4964168,-46.5908772
5166-7,Quinta Feira,Tradicional,Rua,Jose Pace,S/N,Jardim Avelino,Vila Prudente,0,Vila Prudente,OSM (endereço),-23.5848939,-46.5704833
6035-6,Sexta Feira,Tradicional,Rua,Pianco,219,Vila Celeste,Vila Prudente,03137-070,Vila Prudente,OSM (endereço),-23.5792597,-46.574722
1049-9,Domingo,Tradicional,Rua,Professor Alzira de o Gilioli,1817,Vila Rica,Aricanduva,03905-100,Aricanduva/Formosa/Carrão,CEP (AwesomeAPI),-23.5800769,-46.513103
