id,dia,categoria,tipo_logradouro,logradouro,numero,bairro,cep,subprefeitura,lat,lng,geocode_status,distrito
1001-4,Domingo,Tradicional,Rua,Teixeira Leite C/ São Paulo,553,Liberdade,01514-010,Sé,-23.5569885,-46.6284503,painel_prefeitura,Liberdade
1002-2,Domingo,Tradicional,Rua,Conselheiro Belisario,400,Brás,03012-000,Mooca,-23.5387433,-46.6149628,painel_prefeitura,Bras
1003-0,Domingo,Tradicional,Rua,Ingles De Souza,400,Cambuci,01546-010,Sé,-23.5773576,-46.6227437,painel_prefeitura,Cambuci
1004-9,Domingo,Tradicional,Rua,Fabia C Aurelia,701,Vila Romana,05046-000,Lapa,-23.527224,-46.6979779,painel_prefeitura,Lapa
1005-7,Domingo,Tradicional,Rua,Bresser,2701,Mooca,03162-030,Mooca,-23.5514911,-46.599643,painel_prefeitura,Mooca
1006-5,Domingo,Tradicional,Rua,Belarmino Matos,10,Quarta Parada,03062-030,Mooca,-23.5429031,-46.5938736,painel_prefeitura,Belem
1007-3,Domingo,Tradicional,Rua,Agostinho Gomes,352,Ipiranga,04206-000,Ipiranga,-23.5732611,-46.6056448,painel_prefeitura,Ipiranga
1008-1,Domingo,Tradicional,Rua,Tuiuti,2753,Tatuapé,03307-005,Mooca,-23.5497159,-46.5731826,painel_prefeitura,Tatuape
1009-0,Domingo,Tradicional,Rua,Oliveira Melo,350,Vila São JoSé,04271-000,Ipiranga,-23.5871347,-46.6146422,painel_prefeitura,Ipiranga
1010-3,Domingo,Tradicional,Rua,Cel Oscar Porto,429,Paraíso,04003-042,Vila Mariana,-23.5729421,-46.6469935,painel_prefeitura,Vila Mariana
1011-1,Domingo,Tradicional,Rua,Sebastiao Pereira,553,Santa Cecilia,01225-020,Sé,-23.5391639,-46.6491898,painel_prefeitura,Santa Cecilia
1012-0,Domingo,Tradicional,Rua,Jose Zappi,255,Vila Prudente,03128-140,Vila Prudente,-23.5790562,-46.5847934,painel_prefeitura,Vila Prudente
1013-8,Domingo,Tradicional,Rua,Terezina,615,Alto Da Mooca,03185-010,Mooca,-23.5650339,-46.5832228,painel_prefeitura,Agua Rasa
1014-6,Domingo,Tradicional,Avenida,Engenheiro Caetano Alvares,5200,Mandaqui,02413-100,Santana/Tucuruvi,-23.4858295,-46.6383709,painel_prefeitura,Santana
1015-4,Domingo,Tradicional,Avenida,Inhaiba,250,Moinho Velho,04292-050,Ipiranga,-23.6134706,-46.609397,painel_prefeitura,Cursino
1016-2,Domingo,Tradicional,Rua,Dr Vicente Giacaglini,50,Vila Bela,03203-000,Sapopemba,-23.5974099,-46.5654708,painel_prefeitura,Vila Prudente
1017-0,Domingo,Tradicional,Avenida,Lavandisca,644,Moema,04515-011,Vila Mariana,-23.6031419,-46.6643298,painel_prefeitura,Moema
1018-9,Domingo,Tradicional,Rua,Vicente Soares,50,Santa Terezinha,02403-070,Santana/Tucuruvi,-23.4951775,-46.6281876,painel_prefeitura,Santana
1019-7,Domingo,Tradicional,Avenida,Baruel,661,Baruel,02522-000,Casa Verde/Cachoeirinha,-23.5038803,-46.6611137,painel_prefeitura,Casa Verde
1020-0,Domingo,Tradicional,Rua,Carlos Belmiro Correa,461,Parque Peruche,02532-012,Casa Verde/Cachoeirinha,-23.5003177,-46.6542547,painel_prefeitura,Casa Verde
1021-9,Domingo,Tradicional,Avenida,Eulina,331,Jardim Primavera,02755-140,Casa Verde/Cachoeirinha,-23.4869125,-46.6788155,painel_prefeitura,Limao
