id,dia,categoria,tipo_logradouro,logradouro,numero,bairro,referencia,cep,subprefeitura,endereco_completo,endereco_geocode,lat,lng,geocode_status
1001-4,Domingo,Tradicional,Rua,Teixeira Leite com São Paulo,S/N,Liberdade,Baixos Viaduto Glicerio,01514-010,Sé,"Rua Teixeira Leite com São Paulo, Liberdade","Rua Teixeira Leite, Liberdade, São Paulo - SP, 01514-010",,,
1002-2,Domingo,Tradicional,Rua,Conselheiro Belisario,S/N,Bras,Rua Maria Marcolina,03012-000,Mooca,"Rua Conselheiro Belisario, Bras","Rua Conselheiro Belisario, Bras, São Paulo - SP, 03012-000",,,
1003-0,Domingo,Tradicional,Rua,Ingles de Souza,618,Cambuci,Av Lins de Vasconcelos,01546-010,Sé,"Rua Ingles de Souza, 618, Cambuci","Rua Ingles de Souza, 618, Cambuci, São Paulo - SP, 01546-010",,,
1004-9,Domingo,Tradicional,Rua,Fabia C Aurelia,701,Vila Romana,Rua Catao,05046-000,Lapa,"Rua Fabia C Aurelia, 701, Vila Romana","Rua Fabia C Aurelia, 701, Vila Romana, São Paulo - SP, 05046-000",,,
1005-7,Domingo,Tradicional,Rua,Bresser,2701,Mooca,,03162-030,Mooca,"Rua Bresser, 2701, Mooca","Rua Bresser, 2701, Mooca, São Paulo - SP, 03162-030",,,
1006-5,Domingo,Tradicional,Rua,Belarmino Matos,S/N,Quarta Parada,Viaduto Guadalajara,03062-030,Mooca,"Rua Belarmino Matos, Quarta Parada","Rua Belarmino Matos, Quarta Parada, São Paulo - SP, 03062-030",,,
1007-3,Domingo,Tradicional,Rua,Agostinho Gomes,S/N,Ipiranga,Rua dos Patriotas,04206-000,Ipiranga,"Rua Agostinho Gomes, Ipiranga","Rua Agostinho Gomes, Ipiranga, São Paulo - SP, 04206-000",,,
1008-1,Domingo,Tradicional,Rua,Tuiuti,2753,Tatuape,Praca Silvio Romero,03307-005,Mooca,"Rua Tuiuti, 2753, Tatuape","Rua Tuiuti, 2753, Tatuape, São Paulo - SP, 03307-005",,,
1009-0,Domingo,Tradicional,Rua,Oliveira Melo,779,Vila São Jose,Tv da Rua Doutor Mario Vicente,04271-000,Ipiranga,"Rua Oliveira Melo, 779, Vila São Jose","Rua Oliveira Melo, 779, Vila São Jose, São Paulo - SP, 04271-000",,,
1010-3,Domingo,Tradicional,Rua,Coronel Oscar Porto,629,Paraiso,Tv Sampaio Viana,04003-042,Vila Mariana,"Rua Coronel Oscar Porto, 629, Paraiso","Rua Coronel Oscar Porto, 629, Paraiso, São Paulo - SP, 04003-042",,,
1011-1,Domingo,Tradicional,Rua,Sebastiao Pereira,553,Santa Cecilia,Rua Jaguaribe e Alameda Barros,01225-020,Sé,"Rua Sebastiao Pereira, 553, Santa Cecilia","Rua Sebastiao Pereira, 553, Santa Cecilia, São Paulo - SP, 01225-020",,,
1012-0,Domingo,Tradicional,Rua,Jose Zappi,S/N,Vila Prudente,Rua Capitao Pacheco Chaves,03128-140,Vila Prudente,"Rua Jose Zappi, Vila Prudente","Rua Jose Zappi, Vila Prudente, São Paulo - SP, 03128-140",,,
1013-8,Domingo,Tradicional,Rua,Terezina,615,Alto da Mooca,Campo Largo e Manaus,03185-010,Mooca,"Rua Terezina, 615, Alto da Mooca","Rua Terezina, 615, Alto da Mooca, São Paulo - SP, 03185-010",,,
1014-6,Domingo,Tradicional,Avenida,Engenheiro Caetano Alvares,S/N,Mandaqui,Px Rua Voluntarios da Patria,02413-100,Santana/Tucuruvi,"Avenida Engenheiro Caetano Alvares, Mandaqui","Avenida Engenheiro Caetano Alvares, Mandaqui, São Paulo - SP, 02413-100",,,
1015-4,Domingo,Tradicional,Avenida,Inhaiba,S/N,Moinho Velho,Rua Vergueiro,04292-050,Ipiranga,"Avenida Inhaiba, Moinho Velho","Avenida Inhaiba, Moinho Velho, São Paulo - SP, 04292-050",,,
1016-2,Domingo,Tradicional,Rua,Doutor Vicente Giacaglini,S/N,Vila Bela,Rua Costa Barros,03203-000,Vila Prudente,"Rua Doutor Vicente Giacaglini, Vila Bela","Rua Doutor Vicente Giacaglini, Vila Bela, São Paulo - SP, 03203-000",,,
1017-0,Domingo,Tradicional,Avenida,Lavandisca,644,Moema,Prx R Canarios Bairro Moema,04515-011,Vila Mariana,"Avenida Lavandisca, 644, Moema","Avenida Lavandisca, 644, Moema, São Paulo - SP, 04515-011",,,
1018-9,Domingo,Tradicional,Rua,Vicente Soares,S/N,Santa Terezinha,Entre R Joao Bat S Faria,02403-070,Santana/Tucuruvi,"Rua Vicente Soares, Santa Terezinha","Rua Vicente Soares, Santa Terezinha, São Paulo - SP, 02403-070",,,
1019-7,Domingo,Tradicional,Avenida,Baruel,661,Baruel,Avenida Casa Verde,02522-000,Casa Verde/Cachoeirinha,"Avenida Baruel, 661, Baruel","Avenida Baruel, 661, Baruel, São Paulo - SP, 02522-000",,,
1020-0,Domingo,Tradicional,Rua,Carlos Belmiro Correa,461,Pq Peruche,Aguas Virtuosas e Santa Eudoxia,02532-012,Casa Verde/Cachoeirinha,"Rua Carlos Belmiro Correa, 461, Pq Peruche","Rua Carlos Belmiro Correa, 461, Pq Peruche, São Paulo - SP, 02532-012",,,
1021-9,Domingo,Tradicional,Avenida,Eulina,318,Jardim Primavera,Avenida Deputado Emilio Carlos,02755-140,Casa Verde/Cachoeirinha,"Avenida Eulina, 318, Jardim Primavera","Avenida Eulina, 318, Jardim Primavera, São Paulo - SP, 02755-140",,,
1022-7,Domingo,Tradicional,Rua,Benedito Guedes de Oliveira,450,Vila Palmeiras,Av Nafar Souza,02727-030,Freguesia/Brasilândia,"Rua Benedito Guedes de Oliveira, 450, Vila Palmeiras","Rua Benedito Guedes de Oliveira, 450, Vila Palmeiras, São Paulo - SP, 02727-030",,,
1023-5,Domingo,Tradicional,Rua,Casa Forte,S/N,Tucuruvi,Avenida Nova Cantareira,02336-040,Santana/Tucuruvi,"Rua Casa Forte, Tucuruvi","Rua Casa Forte, Tucuruvi, São Paulo - SP, 02336-040",,,
1024-3,Domingo,Tradicional,Rua,Ataliba Vieira,223,Medeiros,Av Nossa Senhora do Loreto,02216-000,Vila Maria/Vila Guilherme,"Rua Ataliba Vieira, 223, Medeiros","Rua Ataliba Vieira, 223, Medeiros, São Paulo - SP, 02216-000",,,
