id,lat,lng,categoria_pbi,dia_pbi,endereco_pbi,subprefeitura_pbi
1001-4,-23.5569885,-46.6284503,Tradicional,Domingo,"Rua Teixeira Leite C/ São Paulo, 553 - Liberdade - São Paulo , 01514-010",Sé
1002-2,-23.5387433,-46.6149628,Tradicional,Domingo,"Rua Conselheiro Belisario, 400 - Bras - São Paulo , 03012-000",Mooca
1003-0,-23.5773576,-46.6227437,Tradicional,Domingo,"Rua Ingles De Souza, 400 - Cambuci - São Paulo , 01546-010",Sé
1004-9,-23.527224,-46.6979779,Tradicional,Domingo,"Rua Fabia C Aurelia, 701 - Vila Romana - São Paulo , 05046-000",Lapa
1005-7,-23.5514911,-46.599643,Tradicional,Domingo,"Rua Bresser, 2701 - Mooca - São Paulo , 03162-030",Mooca
1006-5,-23.5429031,-46.5938736,Tradicional,Domingo,"Rua Belarmino Matos, 10 - Quarta Parada - São Paulo , 03062-030",Mooca
1007-3,-23.5732611,-46.6056448,Tradicional,Domingo,"Rua Agostinho Gomes, 352 - Ipiranga - São Paulo , 04206-000",Ipiranga
1008-1,-23.5497159,-46.5731826,Tradicional,Domingo,"Rua Tuiuti, 2753 - Tatuape - São Paulo , 03307-005",Mooca
1009-0,-23.5871347,-46.6146422,Tradicional,Domingo,"Rua Oliveira Melo, 350 - Vila São Jose - São Paulo , 04271-000",Ipiranga
1010-3,-23.5729421,-46.6469935,Tradicional,Domingo,"Rua Cel Oscar Porto, 429 - Paraiso - São Paulo , 04003-042",Vila Mariana
1011-1,-23.5391639,-46.6491898,Tradicional,Domingo,"Rua Sebastiao Pereira, 553 - Sta Cecilia - São Paulo , 01225-020",Sé
1012-0,-23.5790562,-46.5847934,Tradicional,Domingo,"Rua Jose Zappi, 255 - Vila Prudente - São Paulo , 03128-140",Vila Prudente
1013-8,-23.5650339,-46.5832228,Tradicional,Domingo,"Rua Terezina, 615 - Alto Da Mooca - São Paulo , 03185-010",Mooca
1014-6,-23.4858295,-46.6383709,Tradicional,Domingo,"Av Engenheiro Caetano Alvares, 5200 - Mandaqui - São Paulo , 02413-100",Santana/Tucuruvi
1015-4,-23.6134706,-46.609397,Tradicional,Domingo,"Av Inhaiba, 250 - Moinho Velho - São Paulo , 04292-050",Ipiranga
1016-2,-23.5974099,-46.5654708,Tradicional,Domingo,"Rua Dr Vicente Giacaglini, 50 - Vila Bela - São Paulo , 03203-000",Sapopemba
1017-0,-23.6031419,-46.6643298,Tradicional,Domingo,"Av Lavandisca, 644 - Moema - São Paulo , 04515-011",Vila Mariana
1018-9,-23.4951775,-46.6281876,Tradicional,Domingo,"Rua Vicente Soares, 50 - Sta Terezinha - São Paulo , 02403-070",Santana/Tucuruvi
1019-7,-23.5038803,-46.6611137,Tradicional,Domingo,"Av Baruel, 661 - Baruel - São Paulo , 02522-000",Casa Verde/Cachoeirinha
1020-0,-23.5003177,-46.6542547,Tradicional,Domingo,"Rua Carlos Belmiro Correa, 461 - Parque Peruche - São Paulo , 02532-012",Casa Verde/Cachoeirinha
1021-9,-23.4869125,-46.6788155,Tradicional,Domingo,"Av Eulina, 331 - Jd Primavera - São Paulo , 02755-140",Casa Verde/Cachoeirinha
1022-7,-23.4950429,-46.685379,Tradicional,Domingo,"Rua Benedito Guedes De Oliveira, 450 - Vila Palmeiras - São Paulo , 02727-030",Freguesia/Brasilândia
1023-5,-23.4828509,-46.6142729,Tradicional,Domingo,"Rua Casa Forte, 100 - Tucuruvi - São Paulo , 02336-040",Santana/Tucuruvi
1024-3,-23.4938846,-46.5791133,Tradicional,Domingo,"Rua Ataliba Vieira, 200 - Medeiros - São Paulo , 02216-000",Vila Maria/Vila Guilherme
1025-1,-23.5038483,-46.5786321,Tradicional,Domingo,"Rua Kaneda, 300 - Jd Japao - São Paulo , 02132-030",Vila Maria/Vila Guilherme
1026-0,-23.4679533,-46.5904837,Tradicional,Domingo,"Rua Benjamim Pereira, 331 - Jacana - São Paulo , 02274-001",Jaçanã/Tremenbé
1027-8,-23.471214,-46.6611232,Tradicional,Domingo,"Rua Dos Patis, 335 - Vila Bela Vista - São Paulo , 02613-000",Casa Verde/Cachoeirinha
1028-6,-23.6183838,-46.6354013,Tradicional,Domingo,"Rua Carneiro Da Cunha, 608 - Vila Da Saude - São Paulo , 04144-000",Vila Mariana
1029-4,-23.5928117,-46.7297553,Tradicional,Domingo,"Rua Ibiapaba, 252 - Vila Sonia - São Paulo , 05625-020",Butantã
1030-8,-23.5655409,-46.5361651,Tradicional,Domingo,"Av Trumain C/ Henrique Morize, 500 - Vila Formosa - São Paulo , 03366-000",Aricanduva/Formosa /Carrão
1031-6,-23.5413385,-46.5453798,Tradicional,Domingo,"Rua Comen Gil Pinheiro, 325 - Vila California - São Paulo , 03406-000",Aricanduva/Formosa /Carrão
1032-4,-23.5174119,-46.5393605,Tradicional,Domingo,"Rua Omacha, 530 - Penha - São Paulo , 03610-020",Penha
1033-2,-23.5963365,-46.5415926,Tradicional,Domingo,"Rua Carlos Cesar, 50 - Vila Divina Pastora - São Paulo , 03265-020",Vila Prudente
1034-0,-23.5458344,-46.5187971,Tradicional,Domingo,"Praça Bauxita, 202 - Vila Dalila - São Paulo , 03520-050",Penha
1035-9,-23.5258762,-46.5196305,Tradicional,Domingo,"Rua Nilza, 373 - Vila Esperanca - São Paulo , 03651-120",Penha
1036-7,-23.5391052,-46.4886052,Tradicional,Domingo,"Rua Benedito Leal, 398 - Parque Artur Alvim - São Paulo , 03567-060",Penha
1037-5,-23.5379194,-46.4537446,Tradicional,Domingo,"Rua Ken Sugaya, 100 - Itaquera - São Paulo , 08210-100",Itaquera
